sentence,tokens,labels
"Salash Nunatak ( , ‘ Nunatak Salash ’ \'nu-na-tak 'sa-lash\ ) is a rocky peak of elevation 220 m in Breznik Heights projecting from the upper Wulfila Glacier on Greenwich Island in the South Shetland Islands , Antarctica .","['Salash' 'Nunatak' '(' ',' '‘' 'Nunatak' 'Salash' '’' ""\\'nu-na-tak""
 ""'sa-lash\\"" ')' 'is' 'a' 'rocky' 'peak' 'of' 'elevation' '220' 'm' 'in'
 'Breznik' 'Heights' 'projecting' 'from' 'the' 'upper' 'Wulfila' 'Glacier'
 'on' 'Greenwich' 'Island' 'in' 'the' 'South' 'Shetland' 'Islands' ','
 'Antarctica' '.']","[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
"The larger prefecture-level city of Changde is adjacent to Dongting Lake to the east , the city of Yiyang to the south , Wuling and Xuefeng Mountain s to the west , and Hubei province to the north .","['The' 'larger' 'prefecture-level' 'city' 'of' 'Changde' 'is' 'adjacent'
 'to' 'Dongting' 'Lake' 'to' 'the' 'east' ',' 'the' 'city' 'of' 'Yiyang'
 'to' 'the' 'south' ',' 'Wuling' 'and' 'Xuefeng' 'Mountain' 's' 'to' 'the'
 'west' ',' 'and' 'Hubei' 'province' 'to' 'the' 'north' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
 0 0]"
"The geology of the park varies as the park travels from the Central Valley floor , to the foothills of the Cascade Mountains .","['The' 'geology' 'of' 'the' 'park' 'varies' 'as' 'the' 'park' 'travels'
 'from' 'the' 'Central' 'Valley' 'floor' ',' 'to' 'the' 'foothills' 'of'
 'the' 'Cascade' 'Mountains' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
The actors who play these characters also serve as voice actors and physical models for the characters in the game .,"['The' 'actors' 'who' 'play' 'these' 'characters' 'also' 'serve' 'as'
 'voice' 'actors' 'and' 'physical' 'models' 'for' 'the' 'characters' 'in'
 'the' 'game' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"It finally opened to the public on April 28 , 1967 , the day after the official opening of Expo 67 .","['It' 'finally' 'opened' 'to' 'the' 'public' 'on' 'April' '28' ',' '1967'
 ',' 'the' 'day' 'after' 'the' 'official' 'opening' 'of' 'Expo' '67' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"A memorial service was performed at the Frank E. Campbell Funeral Chapel in Manhattan and at the Beverly Wilshire Hotel in Beverly Hills , California .","['A' 'memorial' 'service' 'was' 'performed' 'at' 'the' 'Frank' 'E.'
 'Campbell' 'Funeral' 'Chapel' 'in' 'Manhattan' 'and' 'at' 'the' 'Beverly'
 'Wilshire' 'Hotel' 'in' 'Beverly' 'Hills' ',' 'California' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0]
The forced ads in ngmoco games are outstandingly annoying Looks like it s time to delete all their apps from my iOS devices,"['The' 'forced' 'ads' 'in' 'ngmoco' 'games' 'are' 'outstandingly'
 'annoying' 'Looks' 'like' 'it' 's' 'time' 'to' 'delete' 'all' 'their'
 'apps' 'from' 'my' 'iOS' 'devices']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
My mama just surprised me on ring day Ahh today just got so much better,"['My' 'mama' 'just' 'surprised' 'me' 'on' 'ring' 'day' 'Ahh' 'today'
 'just' 'got' 'so' 'much' 'better']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"It is located in the central Santa Monica Mountains — on Mulholland Highway near Agoura Hills , Southern California , in the Western United States .","['It' 'is' 'located' 'in' 'the' 'central' 'Santa' 'Monica' 'Mountains' '—'
 'on' 'Mulholland' 'Highway' 'near' 'Agoura' 'Hills' ',' 'Southern'
 'California' ',' 'in' 'the' 'Western' 'United' 'States' '.']",[0 0 0 0 0 0 1 2 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
omg i get paid today yesss,['omg' 'i' 'get' 'paid' 'today' 'yesss'],[0 0 0 0 0 0]
Imma get your heart racing in my skintight jeans be your teenage dream tonight,"['Imma' 'get' 'your' 'heart' 'racing' 'in' 'my' 'skintight' 'jeans' 'be'
 'your' 'teenage' 'dream' 'tonight']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
This article explores similar concepts in Eastern Orthodoxy and Eastern Catholicism .,"['This' 'article' 'explores' 'similar' 'concepts' 'in' 'Eastern'
 'Orthodoxy' 'and' 'Eastern' 'Catholicism' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"The park 's distinctive geologic feature , Spider Rock , is a sandstone spire that rises from the canyon floor at the junction of Canyon de Chelly and Monument Canyon .","['The' 'park' ""'s"" 'distinctive' 'geologic' 'feature' ',' 'Spider' 'Rock'
 ',' 'is' 'a' 'sandstone' 'spire' 'that' 'rises' 'from' 'the' 'canyon'
 'floor' 'at' 'the' 'junction' 'of' 'Canyon' 'de' 'Chelly' 'and'
 'Monument' 'Canyon' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 1 2 0]
This book criticized estrogen replacement therapy and proposed the use of `` natural progesterone '' for menopausal women in order to alleviate a variety of complaints .,"['This' 'book' 'criticized' 'estrogen' 'replacement' 'therapy' 'and'
 'proposed' 'the' 'use' 'of' '``' 'natural' 'progesterone' ""''"" 'for'
 'menopausal' 'women' 'in' 'order' 'to' 'alleviate' 'a' 'variety' 'of'
 'complaints' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Copper Hills High School is located in West Jordan , Utah , United States , situated just east of the Oquirrh Mountains in the southwest corner of the Salt Lake Valley near the Bingham Canyon Copper Mine .","['Copper' 'Hills' 'High' 'School' 'is' 'located' 'in' 'West' 'Jordan' ','
 'Utah' ',' 'United' 'States' ',' 'situated' 'just' 'east' 'of' 'the'
 'Oquirrh' 'Mountains' 'in' 'the' 'southwest' 'corner' 'of' 'the' 'Salt'
 'Lake' 'Valley' 'near' 'the' 'Bingham' 'Canyon' 'Copper' 'Mine' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"In October 2013 , Vornado agreed to pay Extell $ 194 million in exchange for the garage and some air rights .","['In' 'October' '2013' ',' 'Vornado' 'agreed' 'to' 'pay' 'Extell' '$'
 '194' 'million' 'in' 'exchange' 'for' 'the' 'garage' 'and' 'some' 'air'
 'rights' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"On 30 April 1540 Charles V , Holy Roman Emperor issued a special diploma making them counts palatine of Nogara .","['On' '30' 'April' '1540' 'Charles' 'V' ',' 'Holy' 'Roman' 'Emperor'
 'issued' 'a' 'special' 'diploma' 'making' 'them' 'counts' 'palatine' 'of'
 'Nogara' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"As I stood at the base of Kabru, the early morning sunlight casting a golden glow on its snow-capped peaks, I felt a sense of awe and reverence for nature's majesty.","['As' 'I' 'stood' 'at' 'the' 'base' 'of' 'Kabru' ',' 'the' 'early'
 'morning' 'sunlight' 'casting' 'a' 'golden' 'glow' 'on' 'its' 'snow' '-'
 'capped' 'peaks' ',' 'I' 'felt' 'a' 'sense' 'of' 'awe' 'and' 'reverence'
 'for' 'nature' ""'"" 's' 'majesty' '.']","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"On February 3 , 1996 , they represented NWA New Jersey at the first Eddie Gilbert Memorial Brawl in Cherry Hill , New Jersey where they defeated Bad Attitude ( Seek and Destroy ) and The Greek Connection ( Gus the Greek and Jimmy Londos ) in a Triangle match to win the NWA United States Tag Team Championship .","['On' 'February' '3' ',' '1996' ',' 'they' 'represented' 'NWA' 'New'
 'Jersey' 'at' 'the' 'first' 'Eddie' 'Gilbert' 'Memorial' 'Brawl' 'in'
 'Cherry' 'Hill' ',' 'New' 'Jersey' 'where' 'they' 'defeated' 'Bad'
 'Attitude' '(' 'Seek' 'and' 'Destroy' ')' 'and' 'The' 'Greek'
 'Connection' '(' 'Gus' 'the' 'Greek' 'and' 'Jimmy' 'Londos' ')' 'in' 'a'
 'Triangle' 'match' 'to' 'win' 'the' 'NWA' 'United' 'States' 'Tag' 'Team'
 'Championship' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"The shortest route is from Wasdale Head , about 80 metres above sea level , where there is a climbers ' hotel , the Wasdale Head Inn , made popular in the Victorian period by Owen Glynne Jones and others .","['The' 'shortest' 'route' 'is' 'from' 'Wasdale' 'Head' ',' 'about' '80'
 'metres' 'above' 'sea' 'level' ',' 'where' 'there' 'is' 'a' 'climbers'
 ""'"" 'hotel' ',' 'the' 'Wasdale' 'Head' 'Inn' ',' 'made' 'popular' 'in'
 'the' 'Victorian' 'period' 'by' 'Owen' 'Glynne' 'Jones' 'and' 'others'
 '.']","[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
"The Merced River begins in the park 's southern peaks , primarily the Cathedral and Clark Ranges , and drains an area of approximately .","['The' 'Merced' 'River' 'begins' 'in' 'the' 'park' ""'s"" 'southern' 'peaks'
 ',' 'primarily' 'the' 'Cathedral' 'and' 'Clark' 'Ranges' ',' 'and'
 'drains' 'an' 'area' 'of' 'approximately' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 0 0 0 0 0 0 0]
"Its nearest higher peak is Mount Fraser , to the northwest .","['Its' 'nearest' 'higher' 'peak' 'is' 'Mount' 'Fraser' ',' 'to' 'the'
 'northwest' '.']",[0 0 0 0 0 1 2 0 0 0 0 0]
BSD/386 used the same 386BSD code contributed to the University of California on `` 4.3BSD NET/2 '' .,"['BSD/386' 'used' 'the' 'same' '386BSD' 'code' 'contributed' 'to' 'the'
 'University' 'of' 'California' 'on' '``' '4.3BSD' 'NET/2' ""''"" '.']",[0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0]
"The engine , a Midland Railway 1000 Class No .","['The' 'engine' ',' 'a' 'Midland' 'Railway' '1000' 'Class' 'No' '.']",[0 0 0 0 0 0 0 0 0 0]
"The Predigtstuhl is a high mountain in the Wilder Kaiser range in the Northern Limestone Alps in Austria , east of Kufstein in the Tyrol .","['The' 'Predigtstuhl' 'is' 'a' 'high' 'mountain' 'in' 'the' 'Wilder'
 'Kaiser' 'range' 'in' 'the' 'Northern' 'Limestone' 'Alps' 'in' 'Austria'
 ',' 'east' 'of' 'Kufstein' 'in' 'the' 'Tyrol' '.']",[0 1 0 0 0 0 0 0 1 2 2 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0]
"In 2015 he released an autobiography , `` Note `` .","['In' '2015' 'he' 'released' 'an' 'autobiography' ',' '``' 'Note' '``' '.']",[0 0 0 0 0 0 0 0 0 0 0]
"On average , Blue Mountain sells more than 750,000 lift tickets per year , making it the third-busiest ski resort in Canada , after Whistler-Blackcomb in British Columbia and Mont Tremblant in Quebec .","['On' 'average' ',' 'Blue' 'Mountain' 'sells' 'more' 'than' '750,000'
 'lift' 'tickets' 'per' 'year' ',' 'making' 'it' 'the' 'third-busiest'
 'ski' 'resort' 'in' 'Canada' ',' 'after' 'Whistler-Blackcomb' 'in'
 'British' 'Columbia' 'and' 'Mont' 'Tremblant' 'in' 'Quebec' '.']",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0]
Strong winds from Durian blew off the roofs of about 500 houses in Bà Rịa–Vũng Tàu Province .,"['Strong' 'winds' 'from' 'Durian' 'blew' 'off' 'the' 'roofs' 'of' 'about'
 '500' 'houses' 'in' 'Bà' 'Rịa–Vũng' 'Tàu' 'Province' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The highest point of the modern county council area is Gragareth , near Whernside , which reaches a height of 627 m ( 2,057 ft ) .","['The' 'highest' 'point' 'of' 'the' 'modern' 'county' 'council' 'area'
 'is' 'Gragareth' ',' 'near' 'Whernside' ',' 'which' 'reaches' 'a'
 'height' 'of' '627' 'm' '(' '2,057' 'ft' ')' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Planning permission has been granted to construct a 350MW solar power farm around Cleve Hill , and connect the output to the grid through this substation .","['Planning' 'permission' 'has' 'been' 'granted' 'to' 'construct' 'a'
 '350MW' 'solar' 'power' 'farm' 'around' 'Cleve' 'Hill' ',' 'and'
 'connect' 'the' 'output' 'to' 'the' 'grid' 'through' 'this' 'substation'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0]
The MSG advised that West Papua independence organizations must first unite for any future applications to be considered .,"['The' 'MSG' 'advised' 'that' 'West' 'Papua' 'independence'
 'organizations' 'must' 'first' 'unite' 'for' 'any' 'future'
 'applications' 'to' 'be' 'considered' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
In the Himalaya it is common from the Eastern Himalaya to East Nepal and less common from West Nepal to Himachal Pradesh .,"['In' 'the' 'Himalaya' 'it' 'is' 'common' 'from' 'the' 'Eastern'
 'Himalaya' 'to' 'East' 'Nepal' 'and' 'less' 'common' 'from' 'West'
 'Nepal' 'to' 'Himachal' 'Pradesh' '.']",[0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
Mount Berry was named after Berry College founder Martha Berry .,"['Mount' 'Berry' 'was' 'named' 'after' 'Berry' 'College' 'founder'
 'Martha' 'Berry' '.']",[1 2 0 0 0 0 0 0 0 0 0]
"Wallace was subjected to a show trial , in which he was found guilty of treason and hanged , drawn , and quartered at Smithfield , London in 1305 .","['Wallace' 'was' 'subjected' 'to' 'a' 'show' 'trial' ',' 'in' 'which' 'he'
 'was' 'found' 'guilty' 'of' 'treason' 'and' 'hanged' ',' 'drawn' ','
 'and' 'quartered' 'at' 'Smithfield' ',' 'London' 'in' '1305' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Filmed on location in the Purcell Mountains in British Columbia , the film was directed by Frank Marshall , written by John Patrick Shanley , and narrated by John Malkovich .","['Filmed' 'on' 'location' 'in' 'the' 'Purcell' 'Mountains' 'in' 'British'
 'Columbia' ',' 'the' 'film' 'was' 'directed' 'by' 'Frank' 'Marshall' ','
 'written' 'by' 'John' 'Patrick' 'Shanley' ',' 'and' 'narrated' 'by'
 'John' 'Malkovich' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Merlot is the leading red wine variety followed by Cabernet Sauvignon , Pinot noir , Pignolo , Refosco , Refosco dal Peduncolo Rosso and Schioppettino .","['Merlot' 'is' 'the' 'leading' 'red' 'wine' 'variety' 'followed' 'by'
 'Cabernet' 'Sauvignon' ',' 'Pinot' 'noir' ',' 'Pignolo' ',' 'Refosco' ','
 'Refosco' 'dal' 'Peduncolo' 'Rosso' 'and' 'Schioppettino' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Building weight ( seismic mass ) was defined as W = Dead load + 0.5 Live load ( except 1.0 Live for warehouses ) .,"['Building' 'weight' '(' 'seismic' 'mass' ')' 'was' 'defined' 'as' 'W' '='
 'Dead' 'load' '+' '0.5' 'Live' 'load' '(' 'except' '1.0' 'Live' 'for'
 'warehouses' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"On the one hand , this explanation of its meaning can be attributed to the fact that the two mountains , `` Kleiner Brocken `` and `` Großer Brocken `` , were formed by the breakup of a single massif .","['On' 'the' 'one' 'hand' ',' 'this' 'explanation' 'of' 'its' 'meaning'
 'can' 'be' 'attributed' 'to' 'the' 'fact' 'that' 'the' 'two' 'mountains'
 ',' '``' 'Kleiner' 'Brocken' '``' 'and' '``' 'Großer' 'Brocken' '``' ','
 'were' 'formed' 'by' 'the' 'breakup' 'of' 'a' 'single' 'massif' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 0 0 0
 0 0 0 0]"
"The Southern Patagonian Ice Field and the Cordillera Sarmiento are found in the neighbourhood of Reclus , and Torres del Paine is east of the volcano .","['The' 'Southern' 'Patagonian' 'Ice' 'Field' 'and' 'the' 'Cordillera'
 'Sarmiento' 'are' 'found' 'in' 'the' 'neighbourhood' 'of' 'Reclus' ','
 'and' 'Torres' 'del' 'Paine' 'is' 'east' 'of' 'the' 'volcano' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Henley-in-Arden railway station is on the Birmingham to Stratford Line and has regular rail services to B irmingham Moor Street and Birmingham Snow Hill and Stratford upon Avon station .,"['Henley-in-Arden' 'railway' 'station' 'is' 'on' 'the' 'Birmingham' 'to'
 'Stratford' 'Line' 'and' 'has' 'regular' 'rail' 'services' 'to' 'B'
 'irmingham' 'Moor' 'Street' 'and' 'Birmingham' 'Snow' 'Hill' 'and'
 'Stratford' 'upon' 'Avon' 'station' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0]
"Saser Kangri II, the second-highest peak in the Saser Muztagh range, presents a daunting challenge to even the most experienced mountaineers due to its extreme weather conditions and steep terrain. The crew filming the documentary on the Himalayas had to undergo rigorous acclimatization before attempting to capture the breathtaking sunrise over Saser Kangri II's snow-capped peak. Following the successful ascent of Saser Kangri II, the team of climbers from France announced their plan to tackle the highest peak in the range, Saser Kangri I, in the upcoming season.","['Saser' 'Kangri' 'II' ',' 'the' 'second' '-' 'highest' 'peak' 'in' 'the'
 'Saser' 'Muztagh' 'range' ',' 'presents' 'a' 'daunting' 'challenge' 'to'
 'even' 'the' 'most' 'experienced' 'mountaineers' 'due' 'to' 'its'
 'extreme' 'weather' 'conditions' 'and' 'steep' 'terrain' '.' 'The' 'crew'
 'filming' 'the' 'documentary' 'on' 'the' 'Himalayas' 'had' 'to' 'undergo'
 'rigorous' 'acclimatization' 'before' 'attempting' 'to' 'capture' 'the'
 'breathtaking' 'sunrise' 'over' 'Saser' 'Kangri' 'II' ""'"" 's' 'snow' '-'
 'capped' 'peak' '.' 'Following' 'the' 'successful' 'ascent' 'of' 'Saser'
 'Kangri' 'II' ',' 'the' 'team' 'of' 'climbers' 'from' 'France'
 'announced' 'their' 'plan' 'to' 'tackle' 'the' 'highest' 'peak' 'in'
 'the' 'range' ',' 'Saser' 'Kangri' 'I' ',' 'in' 'the' 'upcoming' 'season'
 '.']","[1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
Martese can be found at the top of a promontory overlooking the high Tordino Valle and lies in the heart of the Abruzzo territory known as Monti della Laga within the Italian Gran Sasso e Monti della Laga National Park .,"['Martese' 'can' 'be' 'found' 'at' 'the' 'top' 'of' 'a' 'promontory'
 'overlooking' 'the' 'high' 'Tordino' 'Valle' 'and' 'lies' 'in' 'the'
 'heart' 'of' 'the' 'Abruzzo' 'territory' 'known' 'as' 'Monti' 'della'
 'Laga' 'within' 'the' 'Italian' 'Gran' 'Sasso' 'e' 'Monti' 'della' 'Laga'
 'National' 'Park' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0
 0 0 0 0]"
"However , World War II and the Japanese occupation of the Philippines interrupted operations in 1942 .","['However' ',' 'World' 'War' 'II' 'and' 'the' 'Japanese' 'occupation' 'of'
 'the' 'Philippines' 'interrupted' 'operations' 'in' '1942' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Sierra Madre de Oaxaca runs northeast-southwest , extending from Pico de Orizaba in the northeast to extends to the Isthmus of Tehuantepec in the southeast .","['The' 'Sierra' 'Madre' 'de' 'Oaxaca' 'runs' 'northeast-southwest' ','
 'extending' 'from' 'Pico' 'de' 'Orizaba' 'in' 'the' 'northeast' 'to'
 'extends' 'to' 'the' 'Isthmus' 'of' 'Tehuantepec' 'in' 'the' 'southeast'
 '.']",[0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
He climbed the Japanese Alps and Okuchichibu Mountains .,"['He' 'climbed' 'the' 'Japanese' 'Alps' 'and' 'Okuchichibu' 'Mountains'
 '.']",[0 0 0 0 1 0 1 2 0]
"In the 1930s , Garden Place Hill , one of the many small hills sometimes referred to as the Hamilton Hills , was removed by unemployed workers working with picks and shovels and model T Ford trucks .","['In' 'the' '1930s' ',' 'Garden' 'Place' 'Hill' ',' 'one' 'of' 'the'
 'many' 'small' 'hills' 'sometimes' 'referred' 'to' 'as' 'the' 'Hamilton'
 'Hills' ',' 'was' 'removed' 'by' 'unemployed' 'workers' 'working' 'with'
 'picks' 'and' 'shovels' 'and' 'model' 'T' 'Ford' 'trucks' '.']","[0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"the Boxer rebellion in China , involving the massacre of Bishop Hamer , Vicar Apostolic of South-Western Mongolia , seven missionaries and 3000 Christians ; the even greater decimation of their numbers by the Congo climate , not to mention the persecution of the missionaries and their local congregations .","['the' 'Boxer' 'rebellion' 'in' 'China' ',' 'involving' 'the' 'massacre'
 'of' 'Bishop' 'Hamer' ',' 'Vicar' 'Apostolic' 'of' 'South-Western'
 'Mongolia' ',' 'seven' 'missionaries' 'and' '3000' 'Christians' ';' 'the'
 'even' 'greater' 'decimation' 'of' 'their' 'numbers' 'by' 'the' 'Congo'
 'climate' ',' 'not' 'to' 'mention' 'the' 'persecution' 'of' 'the'
 'missionaries' 'and' 'their' 'local' 'congregations' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"In 2000 , Ali Oumlil was appointed Extraordinary Ambassador Plenipotentiary to the Arab Republic of Egypt by His Majesty King Mohammed VI of Morocco where he served a 4-year term until 2004 .","['In' '2000' ',' 'Ali' 'Oumlil' 'was' 'appointed' 'Extraordinary'
 'Ambassador' 'Plenipotentiary' 'to' 'the' 'Arab' 'Republic' 'of' 'Egypt'
 'by' 'His' 'Majesty' 'King' 'Mohammed' 'VI' 'of' 'Morocco' 'where' 'he'
 'served' 'a' '4-year' 'term' 'until' '2004' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
South Fallsburg is located in the onetime resort area of the Catskill Mountains known as the Borscht Belt .,"['South' 'Fallsburg' 'is' 'located' 'in' 'the' 'onetime' 'resort' 'area'
 'of' 'the' 'Catskill' 'Mountains' 'known' 'as' 'the' 'Borscht' 'Belt' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0]
"The Bhima River , the Krishna River 's main tributary , rises in the Western Ghats and flows east .","['The' 'Bhima' 'River' ',' 'the' 'Krishna' 'River' ""'s"" 'main' 'tributary'
 ',' 'rises' 'in' 'the' 'Western' 'Ghats' 'and' 'flows' 'east' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
The crystal structure of NT-3 shows that NT-3 forms a central homodimer around which two glycosylated p75 LNGFR molecules bind symmetrically .,"['The' 'crystal' 'structure' 'of' 'NT-3' 'shows' 'that' 'NT-3' 'forms' 'a'
 'central' 'homodimer' 'around' 'which' 'two' 'glycosylated' 'p75' 'LNGFR'
 'molecules' 'bind' 'symmetrically' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Just as i have pointed out to our readers The Canadian Markets offer so much opportunity Gabriel Resources shares shoot up after Romania mo,"['Just' 'as' 'i' 'have' 'pointed' 'out' 'to' 'our' 'readers' 'The'
 'Canadian' 'Markets' 'offer' 'so' 'much' 'opportunity' 'Gabriel'
 'Resources' 'shares' 'shoot' 'up' 'after' 'Romania' 'mo']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Rising 7,294 meters above sea level, Gyala Peri is an attractive peak for mountaineers and trekkers, but its challenging terrains and unpredictable weather make the journey arduous.","['Rising' '7' ',' '294' 'meters' 'above' 'sea' 'level' ',' 'Gyala' 'Peri'
 'is' 'an' 'attractive' 'peak' 'for' 'mountaineers' 'and' 'trekkers' ','
 'but' 'its' 'challenging' 'terrains' 'and' 'unpredictable' 'weather'
 'make' 'the' 'journey' 'arduous' '.']",[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
She maintained lifelong relationships with a wide circle of friends and continued to correspond with them and attend social events until her death .,"['She' 'maintained' 'lifelong' 'relationships' 'with' 'a' 'wide' 'circle'
 'of' 'friends' 'and' 'continued' 'to' 'correspond' 'with' 'them' 'and'
 'attend' 'social' 'events' 'until' 'her' 'death' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Pack Monadnock Mountain is directly to the south along the Wapack ridgelin e .,"['Pack' 'Monadnock' 'Mountain' 'is' 'directly' 'to' 'the' 'south' 'along'
 'the' 'Wapack' 'ridgelin' 'e' '.']",[1 2 2 0 0 0 0 0 0 0 1 2 0 0]
The Alabama Army National Guard was originally formed in 1807 .,"['The' 'Alabama' 'Army' 'National' 'Guard' 'was' 'originally' 'formed'
 'in' '1807' '.']",[0 0 0 0 0 0 0 0 0 0 0]
He is best known for his work in the `` Landhaus `` ( Seat of Regional Government ) in Graz ( 1557–1565 ) .,"['He' 'is' 'best' 'known' 'for' 'his' 'work' 'in' 'the' '``' 'Landhaus'
 '``' '(' 'Seat' 'of' 'Regional' 'Government' ')' 'in' 'Graz' '('
 '1557–1565' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
